County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,total.pop
Traverse,5/3/2020,2,0,155,A,Entirely rural,EDR 4 - West Central,Northwest,3357
Wabasha,5/3/2020,10,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,21490
Wadena,5/3/2020,1,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest,13626
Waseca,5/3/2020,6,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,18898
Washington,5/3/2020,146,12,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,250979
Watonwan,5/3/2020,14,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest,10936
Wilkin,5/3/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest,6398
Winona,5/3/2020,67,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,50992
Wright,5/3/2020,50,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central,131130
Yellow Medicine,5/3/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9930
Aitkin,5/4/2020,1,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Anoka,5/4/2020,299,17,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
Becker,5/4/2020,13,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,33552
Beltrami,5/4/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,45847
Benton,5/4/2020,35,1,009,C,Urban/town/rural mix,EDR 7W- Central,Central,39360
Big Stone,5/4/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,5039
Blue Earth,5/4/2020,50,0,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
Brown,5/4/2020,9,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest,25243
Carlton,5/4/2020,60,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,35408
Carver,5/4/2020,27,0,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,98799
Cass,5/4/2020,7,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest,28810
Chippewa,5/4/2020,3,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,12040
Chisago,5/4/2020,13,1,025,D,Entirely urban,EDR 7E- East Central,Central,54297
Clay,5/4/2020,190,13,027,D,Entirely urban,EDR 4 - West Central,Northwest,62040
Clearwater,5/4/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest,8824
