County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,total.pop
Blue Earth,5/15/2020,76,0,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
Blue Earth,5/16/2020,79,0,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
Brown,5/15/2020,10,2,015,B,Town/rural mix,EDR 9 - South Central,Southwest,25243
Brown,5/16/2020,10,2,015,B,Town/rural mix,EDR 9 - South Central,Southwest,25243
Carlton,5/15/2020,66,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,35408
Carlton,5/16/2020,66,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,35408
Carver,5/15/2020,105,2,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,98799
Carver,5/16/2020,111,2,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,98799
Cass,5/15/2020,8,2,021,B,Town/rural mix,EDR 5 - North Central,Northwest,28810
Cass,5/16/2020,9,2,021,B,Town/rural mix,EDR 5 - North Central,Northwest,28810
Chippewa,5/15/2020,27,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,12040
Chippewa,5/16/2020,28,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,12040
Chisago,5/15/2020,27,1,025,D,Entirely urban,EDR 7E- East Central,Central,54297
Chisago,5/16/2020,30,1,025,D,Entirely urban,EDR 7E- East Central,Central,54297
Clay,5/15/2020,279,18,027,D,Entirely urban,EDR 4 - West Central,Northwest,62040
Clay,5/16/2020,291,19,027,D,Entirely urban,EDR 4 - West Central,Northwest,62040
Clearwater,5/15/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest,8824
Clearwater,5/16/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest,8824
Cook,5/15/2020,0,0,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,5270
Cook,5/16/2020,0,0,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,5270
Cottonwood,5/15/2020,52,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest,11437
Cottonwood,5/16/2020,54,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest,11437
Crow Wing,5/15/2020,25,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest,63505
Crow Wing,5/16/2020,24,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest,63505
Dakota,5/15/2020,623,17,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,414655
Dakota,5/16/2020,666,18,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,414655
Dodge,5/15/2020,30,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast,20485
Dodge,5/16/2020,34,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast,20485
Douglas,5/15/2020,18,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest,36891
Douglas,5/16/2020,18,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest,36891
Faribault,5/15/2020,12,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest,13966
Faribault,5/16/2020,9,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest,13966
Fillmore,5/15/2020,17,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,20825
Fillmore,5/16/2020,17,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,20825
Freeborn,5/15/2020,55,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,30619
Freeborn,5/16/2020,61,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,30619
Goodhue,5/15/2020,29,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,46138
Goodhue,5/16/2020,32,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,46138
Grant,5/15/2020,2,0,051,A,Entirely rural,EDR 4 - West Central,Northwest,5923
Grant,5/16/2020,2,0,051,A,Entirely rural,EDR 4 - West Central,Northwest,5923
Hennepin,5/15/2020,4674,449,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,1224763
Hennepin,5/16/2020,4930,454,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,1224763
Houston,5/15/2020,2,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,18709
Houston,5/16/2020,2,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,18709
Hubbard,5/15/2020,0,0,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,20743
Hubbard,5/16/2020,0,0,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,20743
Isanti,5/15/2020,16,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,38584
Isanti,5/16/2020,17,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,38584
Itasca,5/15/2020,42,4,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,45237
Itasca,5/16/2020,43,4,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,45237
Jackson,5/15/2020,34,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest,10104
Jackson,5/16/2020,35,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest,10104
Kanabec,5/15/2020,9,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,15948
Kanabec,5/16/2020,9,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,15948
Kandiyohi,5/15/2020,394,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,42577
Kandiyohi,5/16/2020,405,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,42577
Kittson,5/15/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest,4384
Kittson,5/16/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest,4384
Koochiching,5/15/2020,3,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,12776
Koochiching,5/16/2020,3,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,12776
Lac qui Parle,5/15/2020,2,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,6840
Lac qui Parle,5/16/2020,2,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,6840
Lake,5/15/2020,1,0,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,10578
Lake,5/16/2020,1,0,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,10578
Lake of the Woods,5/15/2020,0,0,077,A,Entirely rural,EDR 2 - Headwaters,Northwest,3841
Lake of the Woods,5/16/2020,0,0,077,A,Entirely rural,EDR 2 - Headwaters,Northwest,3841
Le Sueur,5/15/2020,33,1,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,27810
Le Sueur,5/16/2020,34,1,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,27810
Lincoln,5/15/2020,4,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest,5724
Lincoln,5/16/2020,4,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest,5724
Lyon,5/15/2020,25,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,25789
Lyon,5/16/2020,25,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,25789
Mahnomen,5/15/2020,5,1,087,A,Entirely rural,EDR 2 - Headwaters,Northwest,5500
Mahnomen,5/16/2020,5,1,087,A,Entirely rural,EDR 2 - Headwaters,Northwest,5500
Marshall,5/15/2020,8,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,9397
Marshall,5/16/2020,8,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,9397
Martin,5/15/2020,114,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest,20084
Martin,5/16/2020,117,5,091,B,Town/rural mix,EDR 9 - South Central,Southwest,20084
McLeod,5/15/2020,15,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,35816
McLeod,5/16/2020,16,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,35816
Meeker,5/15/2020,24,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central,23105
Meeker,5/16/2020,32,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central,23105
Mille Lacs,5/15/2020,8,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,25635
Mille Lacs,5/16/2020,9,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,25635
Morrison,5/15/2020,23,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest,32880
Morrison,5/16/2020,24,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest,32880
Mower,5/15/2020,54,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,39386
Mower,5/16/2020,56,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,39386
Murray,5/15/2020,30,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest,8394
Murray,5/16/2020,31,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest,8394
Nicollet,5/15/2020,28,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,33477
Nicollet,5/16/2020,33,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,33477
Nobles,5/15/2020,1342,2,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,21854
Nobles,5/16/2020,1353,2,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,21854
Norman,5/15/2020,11,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest,6589
Norman,5/16/2020,11,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest,6589
Olmsted,5/15/2020,417,9,109,D,Entirely urban,EDR 10 - Southeast,Southeast,151685
Olmsted,5/16/2020,435,9,109,D,Entirely urban,EDR 10 - Southeast,Southeast,151685
Otter Tail,5/15/2020,35,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest,57790
Otter Tail,5/16/2020,36,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest,57790
Pennington,5/15/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest,14197
Pennington,5/16/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest,14197
Pine,5/15/2020,82,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,29057
Pine,5/16/2020,83,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,29057
Pipestone,5/15/2020,9,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest,9229
Pipestone,5/16/2020,9,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest,9229
Polk,5/15/2020,55,2,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,31564
Polk,5/16/2020,55,2,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,31564
Pope,5/15/2020,5,0,121,B,Town/rural mix,EDR 4 - West Central,Northwest,10932
Pope,5/16/2020,5,0,121,B,Town/rural mix,EDR 4 - West Central,Northwest,10932
Ramsey,5/15/2020,1287,61,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,537893
Ramsey,5/16/2020,1416,67,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,537893
Red Lake,5/15/2020,2,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest,4017
Red Lake,5/16/2020,3,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest,4017
Redwood,5/15/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest,15430
Redwood,5/16/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest,15430
Renville,5/15/2020,5,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central,14798
Renville,5/16/2020,5,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central,14798
Rice,5/15/2020,197,2,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,65251
Rice,5/16/2020,221,2,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,65251
Rock,5/15/2020,19,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest,9433
Rock,5/16/2020,20,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest,9433
Roseau,5/15/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest,15537
Roseau,5/16/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest,15537
Scott,5/15/2020,207,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,141463
Scott,5/16/2020,223,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,141463
Sherburne,5/15/2020,135,1,141,D,Entirely urban,EDR 7W- Central,Central,92024
Sherburne,5/16/2020,144,1,141,D,Entirely urban,EDR 7W- Central,Central,92024
Sibley,5/15/2020,4,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,14888
Sibley,5/16/2020,7,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,14888
St. Louis,5/15/2020,100,12,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,200294
St. Louis,5/16/2020,101,12,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,200294
Stearns,5/15/2020,1641,9,145,C,Urban/town/rural mix,EDR 7W- Central,Central,155300
Stearns,5/16/2020,1675,10,145,C,Urban/town/rural mix,EDR 7W- Central,Central,155300
Steele,5/15/2020,92,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,36612
Steele,5/16/2020,100,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,36612
Stevens,5/15/2020,0,0,149,B,Town/rural mix,EDR 4 - West Central,Northwest,9759
Stevens,5/16/2020,0,0,149,B,Town/rural mix,EDR 4 - West Central,Northwest,9759
Swift,5/15/2020,11,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9448
Swift,5/16/2020,12,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9448
Todd,5/15/2020,46,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest,24423
Todd,5/16/2020,52,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest,24423
Traverse,5/15/2020,3,0,155,A,Entirely rural,EDR 4 - West Central,Northwest,3357
Traverse,5/16/2020,3,0,155,A,Entirely rural,EDR 4 - West Central,Northwest,3357
Wabasha,5/15/2020,16,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,21490
Wabasha,5/16/2020,16,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,21490
Wadena,5/15/2020,4,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest,13626
Wadena,5/16/2020,4,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest,13626
Waseca,5/15/2020,19,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,18898
Waseca,5/16/2020,20,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,18898
Washington,5/15/2020,305,18,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,250979
Washington,5/16/2020,326,18,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,250979
Watonwan,5/15/2020,33,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest,10936
Watonwan,5/16/2020,36,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest,10936
Wilkin,5/15/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest,6398
Wilkin,5/16/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest,6398
Winona,5/15/2020,75,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,50992
Winona,5/16/2020,75,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,50992
Wright,5/15/2020,140,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central,131130
Wright,5/16/2020,152,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central,131130
Yellow Medicine,5/15/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9930
Yellow Medicine,5/16/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9930
Minnesota,5/16/2020,NA,NA,000,NA,Minnesota,Minnesota,Minnesota,NA
Aitkin,5/17/2020,3,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Anoka,5/17/2020,821,40,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
Becker,5/17/2020,33,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,33552
Beltrami,5/17/2020,9,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,45847
Benton,5/17/2020,131,2,009,C,Urban/town/rural mix,EDR 7W- Central,Central,39360
Big Stone,5/17/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,5039
Blue Earth,5/17/2020,83,0,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
Brown,5/17/2020,10,2,015,B,Town/rural mix,EDR 9 - South Central,Southwest,25243
Carlton,5/17/2020,66,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,35408
Carver,5/17/2020,113,2,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,98799
Cass,5/17/2020,9,2,021,B,Town/rural mix,EDR 5 - North Central,Northwest,28810
Chippewa,5/17/2020,30,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,12040
Chisago,5/17/2020,34,1,025,D,Entirely urban,EDR 7E- East Central,Central,54297
Clay,5/17/2020,293,20,027,D,Entirely urban,EDR 4 - West Central,Northwest,62040
Clearwater,5/17/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest,8824
Cook,5/17/2020,0,0,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,5270
Cottonwood,5/17/2020,56,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest,11437
Crow Wing,5/17/2020,25,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest,63505
Dakota,5/17/2020,742,23,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,414655
Dodge,5/17/2020,35,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast,20485
Douglas,5/17/2020,18,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest,36891
Faribault,5/17/2020,10,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest,13966
Fillmore,5/17/2020,17,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,20825
Freeborn,5/17/2020,61,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,30619
Goodhue,5/17/2020,33,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,46138
Grant,5/17/2020,2,0,051,A,Entirely rural,EDR 4 - West Central,Northwest,5923
Hennepin,5/17/2020,5158,462,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,1224763
Houston,5/17/2020,2,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,18709
Hubbard,5/17/2020,0,0,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,20743
Isanti,5/17/2020,20,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,38584
Itasca,5/17/2020,46,5,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,45237
Jackson,5/17/2020,36,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest,10104
Kanabec,5/17/2020,9,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,15948
Kandiyohi,5/17/2020,412,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,42577
Kittson,5/17/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest,4384
Koochiching,5/17/2020,3,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,12776
Lac qui Parle,5/17/2020,2,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,6840
Lake,5/17/2020,1,0,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,10578
Lake of the Woods,5/17/2020,0,0,077,A,Entirely rural,EDR 2 - Headwaters,Northwest,3841
Le Sueur,5/17/2020,35,1,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,27810
Lincoln,5/17/2020,4,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest,5724
Lyon,5/17/2020,26,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,25789
Mahnomen,5/17/2020,5,1,087,A,Entirely rural,EDR 2 - Headwaters,Northwest,5500
Marshall,5/17/2020,8,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,9397
Martin,5/17/2020,118,5,091,B,Town/rural mix,EDR 9 - South Central,Southwest,20084
McLeod,5/17/2020,18,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,35816
Meeker,5/17/2020,34,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central,23105
Mille Lacs,5/17/2020,10,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,25635
Morrison,5/17/2020,25,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest,32880
Mower,5/17/2020,58,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,39386
Murray,5/17/2020,31,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest,8394
Nicollet,5/17/2020,37,3,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,33477
Nobles,5/17/2020,1361,2,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,21854
Norman,5/17/2020,11,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest,6589
Olmsted,5/17/2020,448,9,109,D,Entirely urban,EDR 10 - Southeast,Southeast,151685
Otter Tail,5/17/2020,38,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest,57790
Pennington,5/17/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest,14197
Pine,5/17/2020,83,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,29057
Pipestone,5/17/2020,9,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest,9229
Polk,5/17/2020,55,2,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,31564
Pope,5/17/2020,5,0,121,B,Town/rural mix,EDR 4 - West Central,Northwest,10932
Ramsey,5/17/2020,1530,71,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,537893
Red Lake,5/17/2020,3,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest,4017
Redwood,5/17/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest,15430
Renville,5/17/2020,5,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central,14798
Rice,5/17/2020,240,2,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,65251
Rock,5/17/2020,20,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest,9433
Roseau,5/17/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest,15537
Scott,5/17/2020,238,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,141463
Sherburne,5/17/2020,150,2,141,D,Entirely urban,EDR 7W- Central,Central,92024
Sibley,5/17/2020,9,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,14888
St. Louis,5/17/2020,102,13,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,200294
Stearns,5/17/2020,1713,10,145,C,Urban/town/rural mix,EDR 7W- Central,Central,155300
Steele,5/17/2020,105,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,36612
Stevens,5/17/2020,0,0,149,B,Town/rural mix,EDR 4 - West Central,Northwest,9759
Swift,5/17/2020,13,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9448
Todd,5/17/2020,60,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest,24423
Traverse,5/17/2020,3,0,155,A,Entirely rural,EDR 4 - West Central,Northwest,3357
Wabasha,5/17/2020,16,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,21490
Wadena,5/17/2020,5,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest,13626
Waseca,5/17/2020,20,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,18898
Washington,5/17/2020,363,18,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,250979
Watonwan,5/17/2020,41,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest,10936
Wilkin,5/17/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest,6398
Winona,5/17/2020,75,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,50992
Wright,5/17/2020,162,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central,131130
Yellow Medicine,5/17/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9930
Minnesota,5/17/2020,NA,NA,000,NA,Minnesota,Minnesota,Minnesota,NA
Aitkin,5/18/2020,4,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Aitkin,5/19/2020,4,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Aitkin,5/20/2020,4,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Aitkin,5/21/2020,4,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Anoka,5/18/2020,869,42,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
Anoka,5/19/2020,919,42,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
Anoka,5/20/2020,955,45,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
Anoka,5/21/2020,995,49,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
Becker,5/18/2020,33,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,33552
Becker,5/19/2020,32,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,33552
Becker,5/20/2020,32,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,33552
Becker,5/21/2020,33,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,33552
Beltrami,5/18/2020,9,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,45847
Beltrami,5/19/2020,9,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,45847
Beltrami,5/20/2020,9,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,45847
Beltrami,5/21/2020,9,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,45847
Benton,5/18/2020,138,2,009,C,Urban/town/rural mix,EDR 7W- Central,Central,39360
Benton,5/19/2020,142,2,009,C,Urban/town/rural mix,EDR 7W- Central,Central,39360
Benton,5/20/2020,148,2,009,C,Urban/town/rural mix,EDR 7W- Central,Central,39360
Benton,5/21/2020,152,2,009,C,Urban/town/rural mix,EDR 7W- Central,Central,39360
Big Stone,5/18/2020,3,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,5039
Big Stone,5/19/2020,3,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,5039
Big Stone,5/20/2020,3,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,5039
Big Stone,5/21/2020,3,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,5039
Blue Earth,5/18/2020,87,0,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
Blue Earth,5/19/2020,93,0,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
Blue Earth,5/20/2020,98,1,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
