County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Lyon,5/4/2020,9,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mahnomen,5/4/2020,2,0,087,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,5/4/2020,7,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,5/4/2020,108,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest
McLeod,5/4/2020,4,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Meeker,5/4/2020,17,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,5/4/2020,3,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,5/4/2020,6,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,5/4/2020,32,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,5/4/2020,17,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,5/4/2020,16,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,5/4/2020,1011,1,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,5/4/2020,9,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5/4/2020,305,8,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,5/4/2020,18,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,5/4/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,5/4/2020,60,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,5/4/2020,4,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,5/4/2020,42,0,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,5/4/2020,NA,NA,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,5/4/2020,535,34,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,5/4/2020,1,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,5/4/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,5/4/2020,5,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,5/4/2020,24,1,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,5/4/2020,16,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,5/4/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
Scott,5/4/2020,63,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,5/4/2020,61,0,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,5/4/2020,2,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
St. Louis,5/4/2020,79,11,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Stearns,5/4/2020,728,2,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,5/4/2020,24,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,5/4/2020,NA,NA,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,5/4/2020,2,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,5/4/2020,15,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,5/4/2020,2,0,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,5/4/2020,10,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,5/4/2020,2,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,5/4/2020,6,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,5/4/2020,152,12,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,5/4/2020,15,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,5/4/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,5/4/2020,67,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,5/4/2020,54,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,5/4/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
