County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Chisago,5/12/2020,23,1,025,D,Entirely urban,EDR 7E- East Central,Central
Clay,5/12/2020,254,17,027,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,5/12/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,5/12/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,5/12/2020,47,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,5/12/2020,23,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,5/12/2020,508,15,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,5/12/2020,26,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,5/12/2020,17,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,5/12/2020,10,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,5/12/2020,14,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,5/12/2020,46,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,5/12/2020,26,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,5/12/2020,2,0,051,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,5/12/2020,4033,412,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,5/12/2020,2,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,5/12/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,5/12/2020,10,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,5/12/2020,35,2,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,5/12/2020,33,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,5/12/2020,10,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,5/12/2020,367,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,5/12/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,5/12/2020,2,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac qui Parle,5/12/2020,2,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,5/12/2020,1,0,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake of the Woods,5/12/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,5/12/2020,31,1,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,5/12/2020,4,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,5/12/2020,20,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mahnomen,5/12/2020,3,1,087,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,5/12/2020,8,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,5/12/2020,112,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest
McLeod,5/12/2020,14,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Meeker,5/12/2020,23,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,5/12/2020,7,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,5/12/2020,16,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,5/12/2020,45,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,5/12/2020,29,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,5/12/2020,22,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,5/12/2020,1291,2,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,5/12/2020,11,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5/12/2020,378,9,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,5/12/2020,25,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,5/12/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,5/12/2020,73,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,5/12/2020,7,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,5/12/2020,54,1,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,5/12/2020,5,0,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,5/12/2020,1052,49,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,5/12/2020,2,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,5/12/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,5/12/2020,6,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,5/12/2020,134,2,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,5/12/2020,19,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,5/12/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
Scott,5/12/2020,168,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,5/12/2020,122,1,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,5/12/2020,4,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
St. Louis,5/12/2020,96,12,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Stearns,5/12/2020,1512,6,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,5/12/2020,73,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,5/12/2020,1,0,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,5/12/2020,9,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,5/12/2020,42,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,5/12/2020,3,0,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,5/12/2020,13,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,5/12/2020,4,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,5/12/2020,16,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,5/12/2020,266,16,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,5/12/2020,28,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,5/12/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,5/12/2020,71,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,5/12/2020,119,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,5/12/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
